LED #,LED PWM (%),LED current (%),Duration (s)
4,100,99.876,0
3,100,99.788,0
2,100,99.983,0
4,100,43.741,0
3,100,42.541,0
2,100,39.835,0
4,100,22.763,0
3,100,20.587,0
2,100,18.941,0
4,100,12.671,0
3,100,11.101,0
2,100,10.251,0
4,100,7.807,0
3,100,6.757,0
2,100,6.344,0
4,100,5.288,0
3,100,4.695,0
2,100,4.501,0
4,100,4.004,0
3,100,3.664,0
2,100,3.571,0
4,100,3.329,0
3,100,3.164,0
2,100,3.114,0
