LED #,LED PWM (%),LED current (%),Duration (s)
3,100,99.788,0
2,100,99.983,0
1,100,99.975,0
3,100,42.541,0
2,100,39.835,0
1,100,48.451,0
3,100,20.587,0
2,100,18.941,0
1,100,24.894,0
3,100,11.101,0
2,100,10.251,0
1,100,13.662,0
3,100,6.757,0
2,100,6.344,0
1,100,8.142,0
3,100,4.695,0
2,100,4.501,0
1,100,5.472,0
3,100,3.664,0
2,100,3.571,0
1,100,4.097,0
3,100,3.164,0
2,100,3.114,0
1,100,3.374,0
