,LW_ISO,MW_ISO,SW_ISO
Red,1.000000e+00,-4.248399e-01,1.240001e-01
Green,-5.078677e-01,1.000000e+00,-6.071085e-01
Blue,4.353894e-04,-8.652475e-04,1.000000e+00
