,LW_ISO,MW_ISO,SW_ISO
Red,3.522280e-05,-3.404149e-05,7.733324e-06
Green,-1.788852e-05,8.012782e-05,-3.786260e-05
Blue,1.533563e-08,-6.933039e-08,6.236546e-05
